Date and Time	Maximum Line Voltage	Minimum Line Voltage	Line Voltage	Output Voltage	Battery Voltage	Output Frequency	UPS Load	UPS Internal Temperature	Probe 1 Temperature	Probe 1 Humidity	Probe 2 Temperature	Probe 2 Humidity	Input Frequency	Battery Capacity
04/08/2020 12:41:49	N/A	N/A	227.5	227.5	13.7	50.0	22.1	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 13:01:49	N/A	N/A	230.4	228.9	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 13:21:49	N/A	N/A	230.4	230.4	13.7	50.0	38.3	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 13:41:49	N/A	N/A	228.9	227.5	13.7	50.0	30.5	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 14:01:49	N/A	N/A	227.5	227.5	13.7	50.0	29.2	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 14:21:49	N/A	N/A	228.9	228.9	13.7	49.75	26.6	2.0	N/A	N/A	N/A	N/A	49.75	100
04/08/2020 14:41:49	N/A	N/A	230.4	230.4	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 15:01:49	N/A	N/A	230.4	230.4	13.7	50.0	38.3	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 15:21:49	N/A	N/A	230.4	230.4	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 15:41:49	N/A	N/A	230.4	230.4	13.7	50.0	21.4	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 16:01:49	N/A	N/A	230.4	228.9	13.7	49.75	21.4	2.0	N/A	N/A	N/A	N/A	49.75	100
04/08/2020 16:21:49	N/A	N/A	233.2	230.4	13.7	50.0	21.4	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 16:41:49	N/A	N/A	233.2	233.2	13.7	50.0	22.1	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 17:01:49	N/A	N/A	230.4	230.4	13.7	50.0	22.1	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 17:21:49	N/A	N/A	214.5	214.5	13.7	50.0	20.8	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 17:41:49	N/A	N/A	230.4	230.4	13.7	49.75	21.4	2.0	N/A	N/A	N/A	N/A	49.75	100
04/08/2020 18:01:49	N/A	N/A	220.3	220.3	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 18:21:49	N/A	N/A	228.9	228.9	13.7	50.0	27.3	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 18:41:49	N/A	N/A	224.6	224.6	13.7	49.75	22.1	2.0	N/A	N/A	N/A	N/A	49.75	100
04/08/2020 19:01:49	N/A	N/A	230.4	230.4	13.7	49.75	21.4	2.0	N/A	N/A	N/A	N/A	49.75	100
04/08/2020 19:21:49	N/A	N/A	230.4	230.4	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 19:41:49	N/A	N/A	230.4	230.4	13.7	50.0	33.1	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 20:01:49	N/A	N/A	233.2	233.2	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 20:21:49	N/A	N/A	228.9	228.9	13.7	50.0	32.5	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 20:41:49	N/A	N/A	228.9	228.9	13.7	50.0	31.2	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 21:01:49	N/A	N/A	228.9	228.9	13.7	50.0	27.9	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 21:21:49	N/A	N/A	228.9	228.9	13.7	50.0	29.2	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 21:41:49	N/A	N/A	228.9	228.9	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 22:01:49	N/A	N/A	228.9	228.9	13.7	50.0	27.9	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 22:21:49	N/A	N/A	228.9	228.9	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 22:41:49	N/A	N/A	228.9	228.9	13.7	50.0	39.0	2.0	N/A	N/A	N/A	N/A	50.0	100
